bet_id,game,name,result_type,amount,odds,stake,pick,market
2982557,Cricket,Sri Lanka v Bangladesh - ICC T20 World Cup Super 12 Grp. 1 2020 (World Championship T20 1),Won,"1,460,000",1.73,"2,000,000",Sri Lanka,2-Way Full event
2982560,Cricket,Australia v West Indies - ICC T20 World Cup Super 12 Grp. 1 2020 (World Championship T20 1),Won,"1,800,000",1.36,"5,000,000",Australia,2-Way Full event
2982575,Cricket,India v Namibia - ICC T20 World Cup Super 12 Grp. 2 2020 (World Championship T20 1),Won,0,1.00,"10,000,000",India,2-Way Full event
2982591,Cricket,England v New Zealand - ICC T20 World Cup Final Stage 2020 (World Championship T20 1),Won,"15,000,000",2.50,"10,000,000",New Zealand,2-Way Full event
2982592,Cricket,Pakistan v Australia - ICC T20 World Cup Final Stage 2020 (World Championship T20 1),Won,"66,255,548",1.67,"98,888,877",Australia,2-Way Full event
2982593,Cricket,New Zealand v Australia - ICC T20 World Cup Final Stage 2020 (World Championship T20 1),Lost,"98,000,000",2.29,,New Zealand,2-Way Full event
3239047,Football,Uruguay v Argentina - World Cup Qualification CONMEBOL 2020/2022 (World Championship Qualification CONMEBOL 1),Won,"2,200,000",2.10,"2,000,000",Argentina,3-Way Ordinary time
3370550,Football,Netherlands v USA - World Cup Final Stage 2022 (World Championship 1),Lost,"4,000,000",2.80,,Under 1.5 Total Goals,Over/Under 1.5 Total Goals Ordinary time
3370551,Football,Argentina v Australia - World Cup Final Stage 2022 (World Championship 1),Lost,"4,000,000",3.00,,Over 3.5 Total Goals,Over/Under 3.5 Total Goals Ordinary time
3370552,Football,France v Poland - World Cup Final Stage 2022 (World Championship 1),Lost,"1,193,343",4.59,,Draw,3-Way Ordinary time
3370565,Football,Croatia v Brazil - World Cup Final Stage 2022 (World Championship 1),Lost,"18,500,000",3.25,,Over 3.5 Total Goals,Over/Under 3.5 Total Goals Ordinary time
3370567,Football,Morocco v Portugal - World Cup Final Stage 2022 (World Championship 1),Won,"16,332,824",3.25,"7,259,033",Under 1.5 Total Goals,Over/Under 1.5 Total Goals Ordinary time
3495368,Football,Andorra v Poland - World Cup Qualification UEFA 1st Round Grp. I 2021/2022 (World Championship Qualification UEFA 1),Lost,"800,000",41.00,,Andorra,3-Way Ordinary time
3495369,Football,England v Albania - World Cup Qualification UEFA 1st Round Grp. I 2021/2022 (World Championship Qualification UEFA 1),Won,"600,000",1.12,"5,000,000",England,3-Way Ordinary time
3551615,Cricket,Sunrisers Hyderabad v Chennai Super Kings - IPL T20 2021 (India T20 1),Lost,"200,000",2.50,,Sunrisers Hyderabad,2-Way Full event
3581637,Basketball,Serbia v Netherlands - EURO Basket Preliminary Round Grp. D 2022 (European Championships 1),Lost,"6,000,000",2.20,,Under 156.5 Total,Over/Under 156.5 Total Full event
3581639,Basketball,Italy v Estonia - EURO Basket Preliminary Round Grp. C 2022 (European Championships 1),Won,"7,200,000",2.20,"6,000,000",Under 163.5 Total,Over/Under 163.5 Total Full event
3581640,Basketball,Croatia v Greece - EURO Basket Preliminary Round Grp. C 2022 (European Championships 1),Lost,"7,952,838",2.50,,Greece,-11.5
3581644,Basketball,Spain v Bulgaria - EURO Basket Preliminary Round Grp. A 2022 (European Championships 1),Lost,"5,000,000",2.00,,Under 153.5 Total,Over/Under 153.5 Total Full event
3581645,Basketball,Belgium v Georgia - EURO Basket Preliminary Round Grp. A 2022 (European Championships 1),Won,"14,000,000",2.40,"10,000,000",Belgium,2-Way Full event
3581648,Basketball,Estonia v Ukraine - EURO Basket Preliminary Round Grp. C 2022 (European Championships 1),Lost,"10,000,000",2.20,,Over 159.5 Total,Over/Under 159.5 Total Full event
3581650,Basketball,Greece v Italy - EURO Basket Preliminary Round Grp. C 2022 (European Championships 1),Lost,"5,000,000",3.25,,Italy,2-Way Full event
3581653,Basketball,Germany v Bosnia and Herzegovina - EURO Basket Preliminary Round Grp. B 2022 (European Championships 1),Lost,"10,000,000",2.35,,Bosnia and Herzegovina,+7.5
3581654,Basketball,Georgia v Spain - EURO Basket Preliminary Round Grp. A 2022 (European Championships 1),Lost,"1,314,575",8.00,,Georgia,2-Way Full event
3581657,Basketball,Netherlands v Israel - EURO Basket Preliminary Round Grp. D 2022 (European Championships 1),Lost,"5,000,000",3.10,,Over 166 Total,Over/Under 166 Total Full event
3581686,Basketball,Bulgaria v Belgium - EURO Basket Preliminary Round Grp. A 2022 (European Championships 1),Won,"134,400",2.40,"96,000",Over 165 Total,Over/Under 165 Total Full event
3581690,Basketball,Estonia v Greece - EURO Basket Preliminary Round Grp. C 2022 (European Championships 1),Lost,"100,000",2.20,,Estonia,+12.5
3588881,Football,"Serbia v Portugal - World Cup Qualification UEFA Grp. H 2021/2022 (World Championship 1, female)",Lost,"7,000,000",2.60,,Over 3.5 Total Goals,Over/Under 3.5 Total Goals Ordinary time
3594945,Football,Niger v Djibouti - World Cup Qualification CAF 2nd round grp. A 2019/2022 (World Championship Qualification CAF 1),Won,"1,000",1.10,"10,000",Niger,3-Way Ordinary time
3594960,Football,Equatorial Guinea v Tunisia - World Cup Qualification CAF 2nd round grp. B 2019/2022 (World Championship Qualification CAF 1),Lost,"50,000,000",1.80,,Tunisia,3-Way Ordinary time
3609972,Football,Liverpool v Crystal Palace - Premier League 2021/2022 (England 1),Won,"100,000",1.20,"500,000",Liverpool,3-Way Ordinary time
3609973,Football,Manchester City v Southampton - Premier League 2021/2022 (England 1),Lost,"500,000",1.11,,Manchester City,3-Way Ordinary time
3610043,Football,Manchester City v Everton - Premier League 2021/2022 (England 1),Won,"1,500,000",1.15,"10,000,000",Manchester City,3-Way Ordinary time
3610046,Football,Tottenham Hotspur v Leeds United - Premier League 2021/2022 (England 1),Won,"7,000,000",1.70,"10,000,000",Tottenham Hotspur,3-Way Ordinary time
3610072,Football,Manchester United v Crystal Palace - Premier League 2021/2022 (England 1),Lost,"100,000,000",1.70,,Over 2.5 Total Goals,Over/Under 2.5 Total Goals Ordinary time
3610075,Football,Tottenham Hotspur v Norwich City - Premier League 2021/2022 (England 1),Won,"68,634,162",1.73,"94,019,400",Over 2.5 Total Goals,Over/Under 2.5 Total Goals Ordinary time
3610077,Football,West Ham United v Chelsea - Premier League 2021/2022 (England 1),Lost,"100,000,000",1.75,,Chelsea,3-Way Ordinary time
3610105,Football,Southampton v Brentford - Premier League 2021/2022 (England 1),Won,"2,080,000",2.04,"2,000,000",Over 2.5 Total Goals,Over/Under 2.5 Total Goals Ordinary time
3610284,Football,Crystal Palace v Watford - Premier League 2021/2022 (England 1),Lost,"700,000",5.00,,Watford,3-Way Ordinary time
3610285,Football,Chelsea v Wolverhampton Wanderers - Premier League 2021/2022 (England 1),Won,"1,400,000",3.00,"700,000",Over 3.5 Total Goals,Over/Under 3.5 Total Goals Ordinary time
3610286,Football,Burnley v Aston Villa - Premier League 2021/2022 (England 1),Lost,"700,000",3.00,,Burnley,3-Way Ordinary time
3610288,Football,Brentford v Southampton - Premier League 2021/2022 (England 1),Won,"770,000",2.10,"700,000",Brentford,3-Way Ordinary time
3623469,Basketball,Fyllingen v Ammerud - BLNO 2021/2022 (Norway 1),Lost,"1,500,000",1.85,,Fyllingen,-8.5
3623476,Basketball,Centrum Tigers v Kongsberg Miners - BLNO 2021/2022 (Norway 1),Won,"3,400,000",1.85,"4,000,000",Under 155.5 Total,Over/Under 155.5 Total Full event
3623488,Basketball,Kongsberg Miners v Froeya - BLNO 2021/2022 (Norway 1),Won,"4,550,000",1.91,"5,000,000",Even,Odd/Even Full event
3623498,Basketball,Asker Aliens v Centrum Tigers - BLNO 2021/2022 (Norway 1),Lost,"400,000",1.90,,Centrum Tigers,+25
3623500,Basketball,Froeya v Tromsoe Storm - BLNO 2021/2022 (Norway 1),Lost,"400,000",1.85,,Under 164.5 Total,Over/Under 164.5 Total Full event
3623507,Basketball,Kongsberg Miners v Asker Aliens - BLNO 2021/2022 (Norway 1),Lost,"30,000,000",1.85,,Kongsberg Miners,-15
3623513,Basketball,Fyllingen v Ammerud - BLNO 2021/2022 (Norway 1),Won,"9,960,000",1.83,"12,000,000",Under 172.5 Total,Over/Under 172.5 Total Full event
3623514,Basketball,Tromsoe Storm v Nidaros Jets - BLNO 2021/2022 (Norway 1),Won,"21,250,000",1.85,"25,000,000",Nidaros Jets,+21.5
3623518,Basketball,Centrum Tigers v Baerum Basket - BLNO 2021/2022 (Norway 1),Won,"3,400,000",1.85,"4,000,000",Baerum Basket,-26.5
3624465,Football,Borussia Dortmund v Bayern Munich - 1. Bundesliga 2021/2022 (Germany 1),Lost,"65,000,000",2.00,,Under 3.5 Total Goals,Over/Under 3.5 Total Goals Ordinary time
3626180,Football,Lorient v Marseille - Ligue 1 2021/2022 (France 1),Won,"17,000,000",1.85,"20,000,000",Over 2.5 Total Goals,Over/Under 2.5 Total Goals Ordinary time
3629228,Football,Granada v Real Madrid - LaLiga 2021/2022 (Spain 1),Won,"4,500,000",1.45,"10,000,000",Real Madrid,3-Way Ordinary time
3629243,Football,Villarreal v Barcelona - LaLiga 2021/2022 (Spain 1),Lost,222,2.65,,Villarreal,3-Way Ordinary time
3629264,Football,Athletic Bilbao v Real Betis - LaLiga 2021/2022 (Spain 1),Lost,"40,000,000",1.36,,Under 3.5 Total Goals,Over/Under 3.5 Total Goals Ordinary time
3631528,Football,Eibar v Real Valladolid - LaLiga2 2021/2022 (Spain 2),Lost,"20,000,000",2.40,,Eibar,3-Way Ordinary time
3647710,Football,Estrela da Amadora v Sporting Covilha - Liga Portugal 2 2021/2022 (Portugal 2),Won,"11,500,000",2.15,"10,000,000",Sporting Covilha,3-Way Ordinary time
3648864,Basketball,Ratiopharm Ulm v Virtus Bologna - EuroCup Grp. B 2021/2022 (EuroCup 1),Won,"13,440,000",2.12,"12,000,000",Ratiopharm Ulm,2-Way Full event
3648880,Basketball,Hamburg Towers v Lietkabelis - EuroCup Grp. A 2021/2022 (EuroCup 1),Won,"2,730,000",1.91,"3,000,000",Under 164.5 Total,Over/Under 164.5 Total Full event
3648898,Basketball,Turk Telekom v Basquet Club Andorra - EuroCup Grp. A 2021/2022 (EuroCup 1),Won,"27,300,000",1.91,"30,000,000",Over 155 Total,Over/Under 155 Total Full event
3650905,Hockey,Lokomotiv Yaroslavl v HC Dynamo Moscow - KHL 2021/2022 (KHL 1),Lost,"60,000,000",1.74,,Over 4.5 Total,Over/Under 4.5 Total Full event
3657169,Football,Torino v Bologna - Serie A 2021/2022 (Italy 1),Won,"29,000,000",1.29,"100,000,000",Under 3.5 Total Goals,Over/Under 3.5 Total Goals Ordinary time
3657910,Basketball,Monaco v Unics Kazan - EuroLeague 2021/2022 (Euroleague 1),Lost,"30,000,000",1.90,,Over 158.5 Total,Over/Under 158.5 Total Full event
3657968,Basketball,Fenerbahce v FC Bayern Munchen - EuroLeague 2021/2022 (Euroleague 1),Won,"3,480,000",1.87,"4,000,000",Fenerbahce,2-Way Full event
3657990,Basketball,KK Crvena Zvezda v Maccabi Tel Aviv - EuroLeague 2021/2022 (Euroleague 1),Lost,"2,000,000",2.20,,Maccabi Tel Aviv,2-Way Full event
3658046,Basketball,Monaco v Alba Berlin - EuroLeague 2021/2022 (Euroleague 1),Won,"6,300,000",3.10,"3,000,000",Monaco,-10.5
3667207,Basketball,Metropolitans 92 v Le Mans - Pro A 2021/2022 (France 1),Won,"910,000",1.91,"1,000,000",Under 165.5 Total,Over/Under 165.5 Total Full event
3667322,Basketball,Metropolitans 92 v Paris Basketball - Pro A 2021/2022 (France 1),Lost,"50,000,000",2.80,,Metropolitans 92,-13.5
3667323,Basketball,Cholet v Monaco - Pro A 2021/2022 (France 1),Lost,"70,000,000",1.91,,Monaco,-6.5
3667353,Basketball,Le Portel v Monaco - Pro A 2021/2022 (France 1),Lost,"2,000,000",2.50,,Over 165.5 Total,Over/Under 165.5 Total Full event
3667526,Football,Al Hazem v Al Taee - Saudi Professional League 2021/2022 (Saudi Arabia 1),Won,"3,801,710",2.90,"2,000,900",Al Taee,3-Way Ordinary time
3667721,Basketball,"Hradec Kralove v Zabiny Brno - ZBL 2021/2022 (Czech Republic 1, female)",Won,"12,750,000",1.85,"15,000,000",Over 137.5 Total,Over/Under 137.5 Total Full event
3676260,Football,"Reading FC Women v Chelsea FC Women - WSL 2021/2022 (England 1, female)",Lost,"100,000,000",1.33,,Over 2.5 Total Goals,Over/Under 2.5 Total Goals Ordinary time
3686851,Basketball,Basquet Girona v Granada - LEB Oro 2021/2022 (Spain 2),Won,"1,100,000",2.10,"1,000,000",Granada,2-Way Full event
3686912,Basketball,CB Prat v Basquet Coruna - LEB Oro 2021/2022 (Spain 2),Lost,"10,000,000",1.80,,Basquet Coruna,-6.5
3686915,Basketball,Estudiantes v Palencia - LEB Oro 2021/2022 (Spain 2),Lost,"10,000,000",1.85,,Over 148.5 Total,Over/Under 148.5 Total Full event
3686916,Basketball,Melilla v Basquet Girona - LEB Oro 2021/2022 (Spain 2),Won,"15,000,000",2.50,"10,000,000",Over 156.5 Total,Over/Under 156.5 Total Full event
3686924,Basketball,Basquet Coruna v Amics Castello - LEB Oro 2021/2022 (Spain 2),Lost,"20,000,000",2.62,,Basquet Coruna,-12.5
3686926,Basketball,Caceres v Granada - LEB Oro 2021/2022 (Spain 2),Lost,"30,000,000",2.25,,Granada,2-Way Full event
3687871,Basketball,Leicester Riders v London Lions - BBL 2021/2022 (Great Britain 1),Won,"4,250,000",1.85,"5,000,000",Over 161.5 Total,Over/Under 161.5 Total Full event
3687884,Basketball,Surrey Scorchers v Bristol Flyers - BBL 2021/2022 (Great Britain 1),Won,"2,550,000",1.85,"3,000,000",Bristol Flyers,-7.5
3687901,Basketball,Surrey Scorchers v Sheffield Sharks - BBL 2021/2022 (Great Britain 1),Won,"1,298,518",1.67,"1,938,087",Sheffield Sharks,2-Way Full event
3687955,Basketball,Plymouth City Patriots v Manchester Giants - BBL 2021/2022 (Great Britain 1),Lost,"900,000",1.85,,Manchester Giants,-3.5
3687962,Basketball,Newcastle Eagles v Bristol Flyers - BBL 2021/2022 (Great Britain 1),Lost,"4,000,000",1.85,,Under 165.5 Total,Over/Under 165.5 Total Full event
3687963,Basketball,Sheffield Sharks v London Lions - BBL 2021/2022 (Great Britain 1),Lost,"1,000,000",1.91,,London Lions,2-Way Full event
3687967,Basketball,Sheffield Sharks v Caledonia Gladiators - BBL 2021/2022 (Great Britain 1),Lost,"6,000,000",2.00,,Over 161.5 Total,Over/Under 161.5 Total Full event
3687968,Basketball,Surrey Scorchers v Newcastle Eagles - BBL 2021/2022 (Great Britain 1),Lost,"2,000,000",3.40,,Surrey Scorchers,2-Way Full event
3687972,Basketball,Sheffield Sharks v Manchester Giants - BBL 2021/2022 (Great Britain 1),Lost,"2,000,000",2.00,,Under 152.5 Total,Over/Under 152.5 Total Full event
3687975,Basketball,Caledonia Gladiators v Leicester Riders - BBL 2021/2022 (Great Britain 1),Lost,"10,000,000",2.62,,Leicester Riders,-15.5
3687987,Basketball,Surrey Scorchers v London Lions - BBL 2021/2022 (Great Britain 1),Won,"42,400,000",1.53,"80,000,000",Under 178.5 Total,Over/Under 178.5 Total Full event
3688282,Basketball,BK Amager v Svendborg - Basket Ligaen 2021/2022 (Denmark 1),Lost,"2,000,000",1.80,,Over 176.5 Total,Over/Under 176.5 Total Full event
3688291,Basketball,Bakken Bears v Svendborg - Basket Ligaen 2021/2022 (Denmark 1),Won,"1,700,000",1.85,"2,000,000",Under 189.5 Total,Over/Under 189.5 Total Full event
3688316,Basketball,BC Copenhagen v Bears Academy - Basket Ligaen 2021/2022 (Denmark 1),Won,"8,500,000",1.85,"10,000,000",Over 160.5 Total,Over/Under 160.5 Total Full event
3689215,Football,Al-Wakrah v Al-Sadd - Qatar Stars League 2021/2022 (Qatar 1),Lost,"2,000,000",1.80,,Under 3.5 Total Goals,Over/Under 3.5 Total Goals Ordinary time
3691525,Basketball,Astoria Bydgoszcz v Slask Wroclaw - Energa Basket Liga 2021/2022 (Poland 1),Won,"6,800,000",1.85,"8,000,000",Slask Wroclaw,-3.5
3691541,Basketball,Czarni Slupsk v Astoria Bydgoszcz - Energa Basket Liga 2021/2022 (Poland 1),Lost,"52,000,000",1.33,,Under 174.5 Total,Over/Under 174.5 Total Full event
3691579,Basketball,Legia Warszawa v Ostrow Wielkopolski - Energa Basket Liga 2021/2022 (Poland 1),Won,"400,000",1.80,"500,000",Ostrow Wielkopolski,2-Way Full event
3691605,Basketball,Trefl Sopot v Czarni Slupsk - Energa Basket Liga 2021/2022 (Poland 1),Won,"1,200,000",2.20,"1,000,000",Trefl Sopot,2-Way Full event
3691613,Basketball,King Wilki Morskie Szczecin v Trefl Sopot - Energa Basket Liga 2021/2022 (Poland 1),Lost,"4,000,000",2.50,,Trefl Sopot,-3.5
3691619,Basketball,Spojnia Stargard v Slask Wroclaw - Energa Basket Liga 2021/2022 (Poland 1),Lost,"4,000,000",1.85,,Slask Wroclaw,-6
3692301,Basketball,FMP v Buducnost - ABA League 2021/2022 (Adriatic 1),Lost,"3,000,000",1.95,,Over 163.5 Total,Over/Under 163.5 Total Full event
3692315,Basketball,KK Crvena Zvezda v Igokea - ABA League 2021/2022 (Adriatic 1),Won,"4,250,000",1.85,"5,000,000",Over 150.5 Total,Over/Under 150.5 Total Full event
3692338,Basketball,Mega Mozzart v KK Crvena Zvezda - ABA League 2021/2022 (Adriatic 1),Lost,"1,000,000",1.80,,Over 156.5 Total,Over/Under 156.5 Total Full event
3692353,Basketball,Mega Mozzart v Igokea - ABA League 2021/2022 (Adriatic 1),Lost,"4,500,000",1.85,,Over 156.5 Total,Over/Under 156.5 Total Full event
3692362,Basketball,Borac v KK Split - ABA League 2021/2022 (Adriatic 1),Lost,"5,000,000",1.85,,Over 155.5 Total,Over/Under 155.5 Total Full event
3692386,Basketball,Buducnost v Borac - ABA League 2021/2022 (Adriatic 1),Lost,"5,000,000",1.85,,Under 159.5 Total,Over/Under 159.5 Total Full event
3692512,Basketball,CB Murcia v La Laguna Tenerife - Liga Endesa 2021/2022 (Spain 1),Won,"650,000",1.65,"1,000,000",CB Murcia,2-Way Full event
3692619,Basketball,Barcelona v Basquet Club Andorra - Liga Endesa 2021/2022 (Spain 1),Lost,"1,000,000",3.00,,Under 150.5 Total,Over/Under 150.5 Total Full event
3692638,Basketball,Real Betis v Valencia - Liga Endesa 2021/2022 (Spain 1),Lost,"3,000,000",2.00,,Over 164.5 Total,Over/Under 164.5 Total Full event
